name,manufacturer
Airbus A321-231,Airbus
Airbus A321neo,Airbus
Airbus A320-214,Airbus
Airbus A320neo,Airbus
Airbus A350-941,Airbus
Airbus A350-1000,Airbus
Airbus A330-300,Airbus
Airbus A330-900neo,Airbus
Boeing 787-9 Dreamliner,Boeing
Boeing 787-10 Dreamliner,Boeing
Boeing 737 MAX 8,Boeing
Boeing 737 MAX 10,Boeing
Boeing 737-800,Boeing
Boeing 777-300ER,Boeing
ATR 72-600,ATR
Embraer E190,Embraer
Airbus A321neo ACF,Airbus
Airbus A220-300,Airbus
Airbus A380-800,Airbus
Boeing 747-8I,Boeing
Airbus A321ceo,Airbus
Boeing 787-8,Boeing
Airbus A330-200,Airbus
Embraer E195-E2,Embraer
Boeing 777-200ER,Boeing
Airbus A319-100,Airbus
Boeing 737 MAX 9,Boeing
Boeing 777-9X,Boeing
Airbus A321XLR,Airbus
Bombardier CRJ-900,Bombardier
Airbus A340-600,Airbus
COMAC C919,COMAC
Dash 8 Q400,De Havilland
Airbus A321-211,Airbus
Boeing 767-300ER,Boeing
Boeing 757-200,Boeing
McDonnell Douglas MD-80,Boeing
Sukhoi Superjet 100,Sukhoi
Airbus A318-100,Airbus
Airbus A330-800neo,Airbus
Boeing 737-700,Boeing
Airbus A300-600,Airbus
Boeing 747-400,Boeing
ATR 72-500,ATR
Airbus A350-900,Airbus
Boeing 777-8X,Boeing
Cessna Caravan,Cessna
Embraer ERJ-175,Embraer
Boeing 737-900ER,Boeing
Airbus A321neo LR,Airbus
