flightNumber,departureIata,arrivalIata,aircraftName,departureTime,arrivalTime
VN801,BMV,SGN,ATR 72-600,2025-12-31T06:30:00,2025-12-31T07:40:00
VN802,SGN,BMV,ATR 72-600,2025-12-31T08:30:00,2025-12-31T09:40:00
VN611,SGN,DAD,Airbus A320neo,2026-01-01T07:00:00,2026-01-01T08:20:00
VN612,DAD,SGN,Airbus A320neo,2026-01-01T18:00:00,2026-01-01T19:20:00
VN621,SGN,HAN,Airbus A321neo,2026-01-02T06:00:00,2026-01-02T08:10:00
VN622,HAN,SGN,Airbus A321neo,2026-01-02T19:00:00,2026-01-02T21:10:00
VN631,SGN,PQC,Airbus A321-231,2026-01-03T09:00:00,2026-01-03T10:00:00
VN632,PQC,SGN,Airbus A321-231,2026-01-03T17:00:00,2026-01-03T18:00:00
VN641,HAN,DAD,Airbus A320-214,2026-01-04T08:00:00,2026-01-04T09:20:00
VN642,DAD,HAN,Airbus A320-214,2026-01-04T15:30:00,2026-01-04T16:50:00
VN651,HAN,CXR,Airbus A321neo ACF,2026-01-05T07:30:00,2026-01-05T09:30:00
VN652,CXR,HAN,Airbus A321neo ACF,2026-01-05T18:00:00,2026-01-05T20:00:00
VN661,SGN,CXR,Airbus A321ceo,2026-01-06T10:00:00,2026-01-06T11:10:00
VN662,CXR,SGN,Airbus A321ceo,2026-01-06T14:00:00,2026-01-06T15:10:00
VN671,SGN,VCA,Embraer E190,2026-01-07T08:15:00,2026-01-07T09:15:00
VN672,VCA,SGN,Embraer E190,2026-01-07T16:30:00,2026-01-07T17:30:00
VN681,SGN,VCS,ATR 72-500,2026-01-08T09:30:00,2026-01-08T10:20:00
VN682,VCS,SGN,ATR 72-500,2026-01-08T15:00:00,2026-01-08T15:50:00
VN691,HAN,HPH,Dash 8 Q400,2026-01-09T07:00:00,2026-01-09T07:45:00
VN692,HPH,HAN,Dash 8 Q400,2026-01-09T18:00:00,2026-01-09T18:45:00
VN701,SGN,UIH,Embraer E195-E2,2026-01-10T06:45:00,2026-01-10T07:55:00
VN702,UIH,SGN,Embraer E195-E2,2026-01-10T17:10:00,2026-01-10T18:20:00
VN711,SGN,VII,Airbus A320neo,2026-01-11T07:30:00,2026-01-11T09:00:00
VN712,VII,SGN,Airbus A320neo,2026-01-11T16:30:00,2026-01-11T18:00:00
VN721,HAN,THD,ATR 72-600,2026-01-12T08:00:00,2026-01-12T08:50:00
VN722,THD,HAN,ATR 72-600,2026-01-12T17:30:00,2026-01-12T18:20:00
VN731,SGN,VKG,ATR 72-600,2026-01-13T09:00:00,2026-01-13T09:50:00
VN732,VKG,SGN,ATR 72-600,2026-01-13T15:30:00,2026-01-13T16:20:00
VN741,SGN,VTG,Cessna Caravan,2026-01-14T08:00:00,2026-01-14T08:45:00
VN742,VTG,SGN,Cessna Caravan,2026-01-14T17:00:00,2026-01-14T17:45:00

VN851,HAN,CDE,Airbus A321neo,2026-01-06T09:00:00,2026-01-06T13:30:00
VN852,CDE,HAN,Airbus A321neo,2026-01-06T15:00:00,2026-01-06T19:30:00

VN861,HAN,CIF,Airbus A320neo,2026-01-07T08:30:00,2026-01-07T13:10:00
VN862,CIF,HAN,Airbus A320neo,2026-01-07T14:30:00,2026-01-07T19:10:00

VN871,HAN,CIH,Airbus A319-100,2026-01-08T09:00:00,2026-01-08T13:00:00
VN872,CIH,HAN,Airbus A319-100,2026-01-08T14:30:00,2026-01-08T18:30:00

VN881,HAN,BPE,Airbus A321ceo,2026-01-09T07:45:00,2026-01-09T12:15:00
VN882,BPE,HAN,Airbus A321ceo,2026-01-09T13:45:00,2026-01-09T18:15:00

VN891,SGN,DSN,Airbus A321neo ACF,2026-01-10T06:30:00,2026-01-10T12:00:00
VN892,DSN,SGN,Airbus A321neo ACF,2026-01-10T14:00:00,2026-01-10T19:30:00

VN901,HAN,DAT,Airbus A320-214,2026-01-11T08:00:00,2026-01-11T12:30:00
VN902,DAT,HAN,Airbus A320-214,2026-01-11T14:00:00,2026-01-11T18:30:00

VN911,HAN,ERL,Embraer E195-E2,2026-01-12T09:15:00,2026-01-12T13:00:00
VN912,ERL,HAN,Embraer E195-E2,2026-01-12T14:30:00,2026-01-12T18:15:00
